,OBJECTID,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,ALARM_DATE,CONT_DATE
0,1,2007.0,CA,LAC,00233414,OCTOBER,CCO,8.0,14.0,00246393,1.0,,,25.73671341,2007/10/21,2007/10/23
1,2,2007.0,CA,LAC,00233077,MAGIC,CCO,8.0,14.0,00233077,1.0,,,2824.87719727,2007/10/22,2007/10/25
2,3,2007.0,CA,ANF,00000166,RANCH,USF,7.0,2.0,00000166,1.0,,54716.0,58410.3359375,2007/10/2,2007/11/15
3,4,2007.0,CA,LAC,00201384,EMMA,CCO,8.0,14.0,00201384,1.0,,,172.21495056,2007/09/11,2007/09/11
4,5,2007.0,CA,LAC,00259483,CORRAL,CCO,8.0,14.0,00259483,1.0,,,4707.99707031,2007/11/24,2007/11/27
5,6,2007.0,CA,LAC,00109398,GORMAN,CCO,8.0,14.0,00109398,1.0,,,2373.8449707,2007/05/19,2007/05/22
6,7,2007.0,CA,LAC,00148311,WEST,CCO,8.0,14.0,00148311,1.0,,,245.23396301,2007/07/07,2007/07/08
7,8,2007.0,CA,LAC,00177427,PEARBLOSSOM,CCO,8.0,14.0,00177427,1.0,,,81.03350067,2007/08/13,2007/08/14
8,9,2007.0,CA,LAC,00183643,SKYLINE,CCO,8.0,14.0,00183643,1.0,,,95.41855621,2007/08/21,2007/08/23
9,10,2007.0,CA,LAC,00231876,SESNON,CCO,8.0,14.0,00231876,1.0,,,30.3014183,2007/10/21,2007/10/21
10,11,2007.0,CA,LAC,00233414,SOLEDAD,CCO,8.0,14.0,00233414,1.0,,,44.16777039,2007/10/22,2007/10/23
11,12,2007.0,CA,LAC,00233912,Y,CCO,,14.0,00233912,1.0,,,22.49172974,2007/10/23,MISSING
12,13,2007.0,CA,MVU,00000000,ANGEL 3,CDF,7.0,4.0,00009233,1.0, ,837.0,832.12652588,2007/09/15,2007/09/25
13,14,2007.0,CA,MVU,00000000,BANNER,CDF,7.0,14.0,00006310,1.0,,,95.15126038,2007/07/01,2007/07/03
14,15,2007.0,CA,HUU,00000000,CHAMBERS,CDF,2.0,7.0,00003235,1.0,,55.0,54.69635773,2007/07/27,2007/07/29
15,16,2007.0,CA,HUU,00000000,BROWN,CDF,2.0,2.0,00002877,1.0,,20.0,18.73177338,2007/07/08,2007/07/08
16,17,2007.0,CA,HUU,00000000,DRIFTWOOD,CDF,1.0,14.0,00004908,1.0,,70.0,52.9729538,2007/10/25,2007/11/05
17,18,2007.0,CA,HUU,00000000,CAPPEL,CDF,1.0,14.0,00004049,1.0,,20.0,12.89414597,2007/09/05,2007/09/11
18,19,2007.0,CA,KRN,00717959,MOUNTAIN,CCO,1.0,14.0,00717959,1.0,,840.56,840.55828857,2007/07/19,2007/07/19
19,20,2007.0,CA,KRN,00718055,WHITE,CCO,7.0,2.0,00018055,1.0,,12432.15,12432.16015625,2007/06/24,2007/06/29
20,21,2007.0,CA,KRN,0713610,WOFFORD,USF,2.0,9.0,00000000,1.0, ,567.0,567.456604,2007/05/09,2007/05/13
21,22,2007.0,CA,LAC,00080271,PEARBLOSSOM,CCO,8.0,14.0,00080271,1.0,,77.0,77.80277252,2007/04/12,2007/04/13
22,23,2007.0,CA,LAC,00102481,ISLAND,CCO,8.0,14.0,00102481,1.0,,4750.0,4722.96582031,2007/05/1,2007/05/17
23,24,2007.0,CA,LAC,00148415,CANYON,CCO,,14.0,00148415,1.0,,743.0,743.47991943,2007/07/07,MISSING
24,25,2007.0,CA,LAC,00193853,FAIRMONT,CCO,8.0,14.0,00193853,1.0,,211.0,211.62194824,2007/09/01,2007/09/08
25,26,2007.0,CA,FKU,00009400,AUBERRY,CDF,2.0,10.0,00009400,1.0,,150.0,150.93606567,2007/08/28,2007/09/03
26,27,2007.0,CA,FKU,00009688,GATOS,CDF,2.0,1.0,00009688,1.0,,100.0,83.05220032,2007/09/02,2007/09/05
27,28,2007.0,CA,MVU,00000000,CORONADO HILLS,LRA,3.0,14.0,00010492,1.0,,,58.7947464,2007/10/22,MISSING
28,29,2007.0,CA,LAC,00233523,MEADOW RIDGE,CCO,8.0,14.0,00233523,1.0,,,39.1084671,2007/10/23,2007/10/25
29,30,2007.0,CA,MMU,00000000,HIGHWAY 41/ RD 209 3,CDF,6.0,14.0,00005998,1.0,,,329.08093262,2007/05/2,MISSING
30,31,2007.0,CA,MVU,00000000,BORDER #34,BLM,6.0,14.0,00009128,1.0,,,109.22460938,2007/09/12,2007/09/16
31,32,2007.0,CA,MVU,00000000,78 #4,LRA,6.0,10.0,00006655,1.0,,70.0,99.97422028,2007/07/09,2007/07/1
32,33,2007.0,CA,MVU,00000000,BORDER #25,CDF,6.0,4.0,00006524,1.0,,50.0,136.20993042,2007/07/06,2007/07/07
33,34,2007.0,CA,MVU,00000000,VUELTA,CDF,6.0,14.0,00005764,1.0,,120.0,214.81335449,2007/06/16,2007/06/18
34,35,2007.0,CA,LMU,00000000,WILLOW,CDF,1.0,1.0,00003020,2.0,Timber,75.0,73.36000824,2007/07/06,2007/07/17
35,36,2007.0,CA,LMU,00000000,LOOKOUT,CDF,1.0,5.0,00004945,1.0,Grass and Brush Mix,64.0,64.5118103,2007/10/02,2007/10/03
36,37,2007.0,CA,LMU,00000000,PINE,CDF,1.0,5.0,00002692,1.0,Grass and Brush Mix,314.0,481.7800293,2007/06/23,2007/07/29
37,38,2007.0,CA,LMU,00000000,ISLAND,CDF,1.0,1.0,00002269,1.0,"Grass and sagebrush, outside of SRA.",518.0,517.56292725,2007/06/01,2007/06/04
38,39,2007.0,CA,LNU,00000000,HWY 128,CDF,6.0,14.0,00005933,1.0,,368.0,508.35110474,2007/08/14,2007/08/15
39,40,2007.0,CA,LNU,00000000,PEAK,CDF,5.0,2.0,00004843,1.0,,60.0,46.32199097,2007/07/11,2007/07/11
40,41,2007.0,CA,LNU,00000000,MOUNTAIN,CDF,7.0,14.0,00004247,1.0,,45.0,49.27823639,2007/06/24,2007/06/27
41,42,2007.0,CA,LNU,00000000,SPRUCE,CDF,5.0,11.0,00004982,1.0,,,129.01109314,2007/07/15,2007/07/15
42,43,2007.0,CA,LNU,00000000,BRAYE,CDF,6.0,14.0,00003042,1.0,,450.0,636.5302124,2007/05/18,2007/05/22
43,44,2007.0,CA,LNU,00000000,ROBINSON,CDF,1.0,7.0,00005400,1.0,Started on Robinson Rancheria,128.0,121.54821777,2007/07/28,2007/07/3
44,45,2007.0,CA,LNU,00000000,WEST,CDF,6.0,10.0,00005195,1.0,,40.0,36.99460983,2007/07/22,2007/07/22
45,46,2007.0,CA,LAC,00000002,GRIFFITH PARK,LRA,7.0,3.0,00000000,1.0,NPS from BARC imagery and air photo interp. Presumed accuracy 30m,,747.89837646,2007/05/08,MISSING
46,47,2007.0,CA,LAC,00000001,BARHAM,LRA,7.0,8.0,00000000,1.0,"NPS from BARC, air photo interp. Presumed accuracy 30m. Suppress by LA City?",,224.32763672,2007/03/3,2007/03/31
