"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"05/01/2021","CA","Los Angeles","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://losangeles.cbslocal.com/2021/05/01/firefighters-battling-house-fire-witnesses-report-one-person-trapped/"
"04/29/2021","CA","Fresno","Under investigation","One person died in a mobile home fire.","Unknown","Unknown","Unknown","","N","1 & 2 family mobile","Not reported","https://abc30.com/fatal-fire-fresno-mobile-home-firefighters-deadly/10562864/"
"04/20/2021","CA","Simi Valley","Under investigation","A 53 year old man died in a shed fire.","Male","53","Unknown","","N","Other","Not reported","https://www.vcstar.com/story/news/local/communities/simi-valley/2021/04/20/authorities-identify-man-killed-simi-valley-shed-fire/7311056002/"
"04/17/2021","CA","Simi Valley","Under investigation","A man died during a shed fire.","Male","Unknown","Unknown","","N","Other","Not reported","https://www.vcstar.com/story/news/local/communities/simi-valley/2021/04/17/one-dead-simi-valley-shed-fire/7268246002/"
"04/09/2021","CA","American Canyon","Under investigation","A person died during a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://napavalleyregister.com/news/local/fatal-fire-in-american-canyon-late-friday/article_63de5d7a-4eaf-55c2-bb68-68f391ad1cce.html"
"04/08/2021","CA","Los Angeles","Under investigation","A man in his 60's died during a tent fire.","Male","Unknown","Unknown","","N","Other","Not reported","https://www.nydailynews.com/news/national/ny-homeless-man-fire-skid-row-dead-los-angeles-20210409-vgzb6fgbdbe57csrvkhnmdoccm-story.html"
"04/04/2021","CA","Palermo","Under investigation","A person died in a travel trailer fire.","Unknown","Unknown","Unknown","","N","Camper/RV/travel trailer","Not reported","https://www.chicoer.com/2021/04/04/one-person-killed-in-palermo-fire/"
"04/01/2021","CA","San Diego","Under investigation","Three people died in a house fire.","Unknown","Unknown","Unknown","1 of 3","N","1 & 2 family
","Not reported","https://fox5sandiego.com/news/local-news/at-least-2-dead-in-house-fire/"
"04/01/2021","CA","San Diego","Under investigation","Three people died in a house fire.","Unknown","Unknown","Unknown","2 of 3","N","1 & 2 family
","Not reported","https://fox5sandiego.com/news/local-news/at-least-2-dead-in-house-fire/"
"04/01/2021","CA","San Diego","Under investigation","Three people died in a house fire.","Unknown","Unknown","Unknown","3 of 3","N","1 & 2 family
","Not reported","https://fox5sandiego.com/news/local-news/at-least-2-dead-in-house-fire/"
"03/29/2021","CA","Seal Beach","Under investigation","A man died in a house fire.","Male","83","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://patch.com/california/losalamitos/leisureworld-apartment-fire-rouses-seal-beach-neighborhood"
"03/29/2021","CA","Clearlake Oaks","Under investigation","Three people died in a house fire.","Female","Unknown","Unknown","1 of 3","N","1 & 2 family
","Not reported","https://www.pressdemocrat.com/article/news/three-dead-in-clearlake-oaks-house-fire/"
"03/29/2021","CA","Clearlake Oaks","Under investigation","Three people died in a house fire.","Male","Unknown","Unknown","2 of 3","N","1 & 2 family
","Not reported","https://www.pressdemocrat.com/article/news/three-dead-in-clearlake-oaks-house-fire/"
"03/29/2021","CA","Clearlake Oaks","Under investigation","Three people died in a house fire.","Male","Unknown","Unknown","3 of 3","N","1 & 2 family
","Not reported","https://www.pressdemocrat.com/article/news/three-dead-in-clearlake-oaks-house-fire/"
"03/28/2021","CA","Fairfield","Cooking","A 27-year-old man died in a house fire.","Male","27","Unknown","","N","1 & 2 family
","Not reported","https://www.dailyrepublic.com/all-dr-news/solano-news/fairfield/coroner-ids-victim-in-sunday-fire-as-27-year-old-fairfield-man/"
"03/22/2021","CA","Los Angeles","Under investigation","A 66-year-old man died in an apartment fire.","Male","66","Older adults (65 and older)","","N","Multifamily","Not reported","https://ktla.com/news/local-news/66-year-old-man-dies-in-fire-at-hancock-park-apartment-building-lafd/"
"03/17/2021","CA","Ontario","Other unintentional/careless
","Two people died in a home fire.","Unknown","Unknown","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://abc30.com/2-dead-as-neighborhood-rocked-by-fireworks-explosion-large-fire/10424320/"
"03/17/2021","CA","Ontario","Other unintentional/careless
","Two people died in a home fire.","Unknown","Unknown","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://abc30.com/2-dead-as-neighborhood-rocked-by-fireworks-explosion-large-fire/10424320/"
"03/16/2021","CA","Ontario","Other unintentional/careless
","Two people died in a house fire.","Unknown","Unknown","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://ktla.com/news/local-news/flames-engulf-ontario-home-after-reported-explosion/"
"03/16/2021","CA","Ontario","Other unintentional/careless
","Two people died in a house fire.","Unknown","Unknown","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://ktla.com/news/local-news/flames-engulf-ontario-home-after-reported-explosion/"
"03/13/2021","CA","National City, San Diego","Under investigation","A person died during an apartment fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://fox5sandiego.com/news/local-news/1-killed-1-hurt-in-national-city-apartment-fire/"
"03/13/2021","CA","Colfax","Under investigation","A person died during a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://sacramento.cbslocal.com/2021/03/13/person-killed-in-early-morning-fire-in-colfax/"
"02/22/2021","CA","South Lake Tahoe","Under investigation","One person died in an apartment fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://sacramento.cbslocal.com/2021/02/22/fatal-lake-tahoe-apartment-fire/"
"02/20/2021","CA","Aliso Viejo","Under investigation","One person died in an apartment fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://www.ocregister.com/2021/02/20/1-killed-in-aliso-viejo-apartment-fire/"
"02/12/2021","CA","Bakersfield","Under investigation","One person died in a house fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://www.bakersfield.com/news/victim-discovered-following-apartment-fire-in-east-bakersfield/article_a245b406-7087-11eb-ba2c-b3adf7c867f9.html"
"02/10/2021","CA","Florence","Under investigation","A man died in an apartment fire.","Male","Unknown","Unknown","","N","Multifamily","Not reported","https://mynewsla.com/crime/2021/02/10/man-dies-in-apartment-fire-near-florence-2/"
"02/08/2021","CA","Novato","Under investigation","A 64 year old woman died in a mobile home fire.","Female","64","Unknown","","N","1 & 2 family mobile","Not reported","https://www.marinij.com/2021/02/08/1-dead-1-injured-after-novato-mobile-home-fire/"
"02/07/2021","CA","Sacramento","Under investigation","A man died during an apartment fire.","Male","Unknown","Unknown","","N","Multifamily","Not reported","https://www.kcra.com/article/man-found-dead-after-fire-sacramento-home/35442137"
"02/07/2021","CA","Bethel Island","Other heat
","A 56-year-old man died in a boat fire.","Male","56","Unknown","","N","Other","Not reported","https://www.mercurynews.com/2021/02/23/fatal-boat-fire-in-bethel-island-caused-by-portable-heater-that-was-on-board/"
"02/05/2021","CA","Grass Valley","Under investigation","A three year-old girl died during a house fire.","Female","3","Children (14 and under)","","N","1 & 2 family
","Not reported","https://fox40.com/news/local-news/grass-valley-house-fire-killed-3-year-old-girl-injured-5-year-old-boy/"
"02/04/2021","CA","Big Bear Lake, San Bernardino","Under investigation","A person died during a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://bigbeargrizzly.net/news/4950/fire-claims-life-in-big-bear-lake/"
"01/29/2021","CA","Harbor City","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.dailybreeze.com/2021/01/31/1-dead-after-cluttered-harbor-city-home-catches-fire/"
"01/25/2021","CA","Lakeland Village, Lake Elsinore","Under investigation","A 1-year-old girl and a 2-year-old boy died in a house fire. A 90 year-old woman has also died from injuries received during the fire.","Female","1","Children (14 and under)","1 of 3","N","1 & 2 family
","Not reported","https://people.com/human-interest/90-year-old-great-grandmother-toddlers-killed-fire-also-dies/"
