,Population,state,COUNTY
0,269075,06,047
1,17540,06,043
2,8938,06,049
3,1133247,06,013
4,18085,06,027
5,539301,06,099
6,443738,06,083
7,64148,06,033
8,27897,06,021
9,227075,06,007
10,150075,06,031
11,18699,06,063
12,281455,06,079
13,978130,06,019
14,883053,06,029
15,3164182,06,059
16,848112,06,111
17,45235,06,009
18,95872,06,101
19,765935,06,081
20,53932,06,109
21,732212,06,077
22,37829,06,005
23,14174,06,051
24,59416,06,069
25,1510023,06,067
26,186661,06,017
27,433212,06,053
28,870044,06,075
29,3302833,06,073
30,460477,06,107
31,135768,06,023
32,1146,06,003
33,155013,06,039
34,273765,06,087
35,12862,06,105
36,2383286,06,065
37,2135413,06,071
38,260295,06,041
39,380077,06,061
40,179085,06,089
41,438530,06,095
42,21464,06,011
43,63373,06,103
44,75493,06,115
45,31185,06,035
46,501317,06,097
47,180216,06,025
48,1643700,06,001
49,140530,06,055
50,2930,06,091
51,214977,06,113
52,99092,06,057
53,87422,06,045
54,10098052,06,037
55,1922200,06,085
56,43540,06,093
57,27424,06,015
